"U.S.  Economic Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Algeria,Department of Defense Security Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"78,773",,,"10,000"
Algeria,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,"1,818,201","4,189,876","1,774,579",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"696,801","440,308",,"639,918",,,,,,
Algeria,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"260,492",,,,,"811,160","1,961,219","3,118,506","1,861,654","2,520,729","4,994,038","865,612",
Algeria,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,524","273,079","11,699",,
Algeria,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"575,842",,"897,388","635,925","356,732","1,118,551","538,185","1,198,797"
Algeria,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"763,112","417,747","1,084,525","257,720","1,375,536","578,419","733,645","291,877","155,482","216,171","1,595,483","1,022,047","2,093,017","548,968","100,830"
Algeria,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,270,774",,"1,364,662","1,736,377",,,,,,,,
Algeria,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100,777","68,149","69,986","69,071","67,728","107,498","80,742","95,135","70,707","171,239","387,772","555,755","1,414,958","284,858","182,892","99,800","101,715"
Algeria,Other USAID Assistance,,,,,,,,,,,,,,,,,,"6,584,091","5,915,263","4,070,045","1,138,310","551,547",,,,,,,,,,,,,,,,,,,,,,,,,,"3,979,275",,,,,,,,,,"961,612","1,071,021",,"-5,794","56,035",,,"3,611","-43,492",,
Algeria,Peace Corps,,,,,,,,,,,,,,,,,,,,,,,,,,"4,604","439,605",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Title I,,,,,,,,,,,,,,,,,,,,,"66,022,004",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Algeria,Title II,,,,,,,,,,,"6,824","5,261,294","638,457","4,406,084","3,730,043","14,094,342","56,364,226","405,220,868","260,271,567","83,726,643","43,255,796","72,252,642",,"10,191,733","10,635,628",,,"842,457",,"16,361,203","20,242,497","6,755,913","16,633,242","11,932,227","1,691,757",,,,,,"508,147",,,,,,,,,,,,,"974,684",,,,"2,543,802",,"1,113,932",,,,"7,250,665","7,200,567","6,788,416","8,021,169","9,388,400"
Angola,Child Survival and Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,206,896","7,033,292","5,594,576","9,729,010","8,372,413","12,148,367","7,683,600","16,163,320","24,128,423","2,927,761","-103,294",,"-177,718","-296,239"
Angola,Development Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13,414,397","6,896,534","3,669,348","7,440,197","5,942,359","11,324,809","6,431,496","7,456,441","8,172,927","6,326,160","12,618,888","20,669,725","5,909,894","3,325,535"
Angola,Economic Support Fund/Security Support Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,708,525",,,,,"6,814,867","7,129,110","934,319","651,231","2,032,290","3,882,457","4,812,590","4,618,005","2,868,230","6,920,343","2,048,570","2,010,104","1,144,174",,"-131,137","540,000"
Angola,Food For Education,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,310,179","3,207,857","2,405,739"
Angola,Global HIV/AIDS Initiative,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,166,578","523,107","1,091,085","1,440,113","499,692","220,318","385,388","11,465","11,923"
Angola,Global Health and Child Survival,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,459,676","30,755,520","50,466,249","56,933,756","43,132,872"
Angola,Migration and Refugee Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,388,117","1,704,262","5,692,103","4,821,692","108,156","5,853,811","1,952,823","8,464,428","4,067,023","3,664,557","6,387,969",,,,"2,391,422","407,347","650,000"
Angola,Narcotics Control,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"278,014",
Angola,"Nonproliferation, Anti-Terrorism, Demining and Related",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,362,973","3,230,105",,"4,032,421","3,619,182","3,592,693","4,840,003","6,874,149","7,151,816","6,858,862","5,594,764","7,326,038","7,667,217","10,397,281","10,383,069","13,233,000"
Angola,Other Active Grant Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,179,423","1,418,862","2,637,755","1,833,223","2,927,242","179,473","9,865,254","3,473,764","7,825,393","7,465,835","1,898,654","10,564,350","5,765,136","3,518,016"
Angola,Other Food Aid Programs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,955,430","44,398,535","11,773,939",,,,"4,075,229",,"26,078,031","14,201,910","5,468,623","476,156","1,324,322","343,812","3,686,416",,,,,,
Angola,Other State Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"192,737","346,363","68,149","67,294",,"99,326","114,531","81,030","124,229","191,032","109,507","186,617","720,890","716,381","92,952","232,975","335,263","1,687,952"
Angola,Other USAID Assistance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"18,322,158",,"23,118","14,149","25,559,397","15,240,769","19,828,804","530,932",,"13,883,467","25,146,663","32,505,029","15,438,915","3,883,280","7,393,168","7,819,917","4,789,423","4,558,057","6,997,849","4,544,864","-190,268"
Angola,Title I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,559,102",,"29,122,693",,"13,458,769",,"13,024,615",,,,,,,,,,,,
