Real GDP growth (Annual percent change),1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
South America,5.6,-2.3,-0.4,-2.8,4.4,3.9,7.1,3.8,1.1,-0.2,-1.3,3.9,3.2,4.5,4.9,3.8,2.8,4.8,1.1,-1.4,3.1,0.9,0,2.1,7.3,5.2,5.7,6.7,4.9,-0.3,6.5,4.7,2.4,3.2,0.7,1.6,2.4,2.8,2.9,3
South Asia,9.6,6,4.4,7.1,4.2,5.5,4.8,4.2,8.6,5.6,5.3,2.2,5.7,4.3,6.2,6.9,7.2,3.9,5.6,8,4,4.3,3.7,7.3,7.7,8.9,8.6,9,4.2,7.3,9.1,6.3,4.8,5,5.5,6.2,6.3,6.5,6.6,6.6
Southeast Asia,7.2,6.5,4,4.6,4.6,1,4.5,5.9,7.9,8.4,7.7,6.4,6.5,7.7,7.9,8.2,7.5,4.3,-8.2,3.3,5.6,3,5,5.8,6.6,5.9,6.2,6.6,4.6,2,7.4,4.9,5.9,5.2,4.7,5.4,5.4,5.5,5.5,5.5
Sub-Saharan Africa (Region) ,4.3,6.9,0.6,-0.9,2.5,2.4,1,0.9,4.7,3.3,2.6,0.4,-0.8,1.8,2.1,3.7,5.9,6.2,3.7,3.9,5.1,5.7,8.4,6,7.8,6.3,7.1,7.9,6.1,4.1,6.7,4.8,4,5,5,5.7,6,5.9,5.7,5.5
Western Europe,1,0.2,0.8,1.7,2.6,2.6,2.9,2.9,4.2,3.8,3.4,2,1.3,-0.1,2.9,2.7,1.9,3,2.9,2.9,4,2,1.2,1.2,2.4,2,3.2,3.1,0.2,-4.3,2,1.6,-0.3,0.1,1.3,1.6,1.8,1.8,1.8,1.8
Western Hemisphere (Region),2.1,2.1,-1.5,2.2,6.1,4,3.7,3.5,3.3,2.9,1.4,1,3.3,3.1,4.3,2.4,3.6,4.7,3.8,3.4,4,0.9,1.4,2.5,4.4,3.7,3.5,3,1.1,-2.3,3.7,2.6,2.5,2.4,1.9,2.8,2.9,3,2.8,2.8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ASEAN-5,7,6.3,3.8,4.4,4.4,1.1,4.8,5.6,7.8,8.4,7.6,6.4,6.4,7.6,7.8,8.3,7.5,4,-8.8,2.9,5.2,3.1,4.9,5.7,6,5.4,5.5,6.2,4.9,2.1,6.9,4.7,6.2,5.2,4.7,5.4,5.5,5.6,5.6,5.6
Advanced economies,1,2,0.2,3.1,4.9,3.9,3.3,3.7,4.8,4.1,3.3,1.5,2.3,1.5,3.4,2.9,3,3.6,2.7,3.6,4.1,1.4,1.7,2.1,3.2,2.8,3.1,2.8,0.1,-3.4,3.1,1.7,1.2,1.4,1.8,2.3,2.4,2.4,2.3,2.3
Commonwealth of Independent States,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,-9.6,-13.9,-5.4,-3.6,1.4,-3.8,5.4,9.3,6.1,5.3,7.7,8.1,6.8,8.9,9,5.4,-6.2,5,4.8,3.4,2.2,0.8,1.6,2.5,2.7,2.9,3
Emerging and Developing Asia,8.3,5.9,5.3,7.2,7.4,6.4,6,6.9,9.3,6,5.6,5.7,8.8,9,9.4,9,8.4,6.2,2.8,6.7,6.3,5.9,6.5,8.3,8.5,9.3,10.1,11.2,7.1,7.5,9.5,7.7,6.7,6.6,6.5,6.6,6.5,6.5,6.4,6.3
Emerging and Developing Europe,-0.9,-0.6,1.3,4.5,4,2.4,4.3,5,1.6,0.2,-0.4,-5.7,0.9,3.7,0,6.1,5.1,4.6,2.9,0,5.2,-0.2,4.4,4.8,7.4,5.9,6.4,5.3,3.2,-3.6,4.7,5.5,1.4,2.8,2.7,2.9,3.3,3.3,3.4,3.4
Emerging market and developing economies,4.3,2.9,1.8,2.2,4.8,4,3.6,3.9,4.1,3.7,3.8,3.9,2.5,3.2,3.3,4.1,5.2,5,2.3,3.7,5.7,3.8,4.6,6.4,8,7.3,8.2,8.6,5.8,3.1,7.5,6.2,5.1,4.7,4.4,5,5.2,5.2,5.2,5.2
Euro area,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,n/a,1.4,-0.8,2.5,2.9,1.5,2.6,2.8,2.9,3.8,2,0.9,0.7,2.2,1.7,3.3,3,0.4,-4.5,1.9,1.6,-0.7,-0.4,0.8,1.3,1.7,1.7,1.6,1.6
European Union,0.6,-0.1,0.9,1.9,2.6,2.4,2.9,2.9,4.1,3.5,2.6,1.1,1,-0.1,3,3,2.1,2.9,2.9,2.9,4,2.2,1.4,1.6,2.7,2.3,3.6,3.4,0.7,-4.4,2,1.8,-0.3,0.2,1.4,1.8,2,2,2,2
Latin America and the Caribbean,6.4,0.8,-0.5,-2.8,3.9,3.2,4.3,3.3,1.1,1.1,0.6,3.9,3.4,4,4.8,1.5,3.6,5.4,2.3,0.1,3.7,0.5,0.3,2,6.2,4.7,5.7,5.8,3.9,-1.3,6,4.5,2.9,2.7,1.3,2.2,2.8,3.1,3.2,3.3
Major advanced economies (G7),0.5,2,-0.1,3.3,5.1,4,3.1,3.4,4.8,3.9,3,1.2,2.2,1.3,3.1,2.5,2.8,3.3,2.8,3.2,3.7,1.2,1.3,2,3,2.5,2.6,2.2,-0.3,-3.8,2.9,1.5,1.4,1.5,1.7,2.3,2.3,2.3,2.1,2.1
Middle East and North Africa,-1.4,2.6,1,2.1,3.2,2.4,-1.5,-0.3,0,5.8,8.3,6.7,5.9,1.8,2.6,2.1,4.9,4.8,4.3,2.4,5.9,2.5,3.6,7.1,9.1,5.3,6.8,5.8,5.3,2.4,5.5,4.5,4.8,2.3,2.6,3.8,4.5,4.4,4.4,4.5
"Middle East, North Africa, Afghanistan, and Pakistan",-0.7,2.9,1.5,2.5,3.4,2.9,-0.8,0.4,0.8,5.7,7.9,6.5,6.1,1.8,2.8,2.4,5.1,4.4,4.2,2.6,5.6,2.4,3.6,6.9,8.9,5.8,6.7,5.8,5.2,2.3,5.3,4.4,4.8,2.5,2.7,3.9,4.5,4.4,4.5,4.6
Other advanced economies,3.6,3.8,2.3,4,6.5,4.3,5.7,6.4,5.2,4.8,4.6,3.6,3.9,4.3,6.2,5.2,4.8,4.4,0.7,5.3,5.8,1.8,3.9,2.6,5,4.1,4.8,5.1,1.8,-1,5.9,3.3,2,2.3,2.9,3.1,3.3,3.3,3.3,3.3
Sub-Saharan Africa,4.4,6.9,0.5,-0.8,2.7,2.5,0.8,0.8,4.7,3.3,2.7,0.2,-0.8,1.6,2.1,3.7,5.9,4.1,2.9,2.9,4,5.6,8.6,5.9,7.9,6.6,7,7.9,6.3,4.1,6.9,5.1,4.4,5.1,5.1,5.8,6,5.9,5.7,5.5
World,2.2,2.3,0.8,2.8,4.9,3.9,3.4,3.8,4.6,3.9,3.5,2.4,2.4,2.2,3.4,3.4,3.9,4.2,2.5,3.6,4.8,2.5,3,4,5.4,4.9,5.6,5.7,3,0,5.4,4.1,3.4,3.3,3.3,3.8,4,4.1,4,4
