"U.S.  Military Assistance, Constant 2012 $US ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Obligations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: US Overseas Loans & Grants [Greenbook], http://gbk.eads.usaidallnet.gov/",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by USAID Economic Analysis and Data Services on March 28, 2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"tq—In 1976 the U.S. Government changed the fiscal year from July-June to October-September. The Transition Quarter (TQ) reports the 3 month adjustment period of July, August and September in 1976.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Program Name,FY1946,FY1947,FY1948,FY1949,FY1950,FY1951,FY1952,FY1953,FY1954,FY1955,FY1956,FY1957,FY1958,FY1959,FY1960,FY1961,FY1962,FY1963,FY1964,FY1965,FY1966,FY1967,FY1968,FY1969,FY1970,FY1971,FY1972,FY1973,FY1974,FY1975,FY1976,FY1976tq,FY1977,FY1978,FY1979,FY1980,FY1981,FY1982,FY1983,FY1984,FY1985,FY1986,FY1987,FY1988,FY1989,FY1990,FY1991,FY1992,FY1993,FY1994,FY1995,FY1996,FY1997,FY1998,FY1999,FY2000,FY2001,FY2002,FY2003,FY2004,FY2005,FY2006,FY2007,FY2008,FY2009,FY2010,FY2011,FY2012
Comoros,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"49,482","41,054","44,968","83,247","208,764","139,242","90,472","202,133",,,"88,839","103,586","135,934","18,596",,,,,"144,775","626,911","586,124","66,398","141,486","193,256","115,412","210,802","126,600"
Congo (Brazzaville),"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"62,876","110,419","7,743",,,"3,570",,,"59,417","351,198","226,181","209,511","157,493","212,234","224,875","200,357",,,,"109,441","175,253","132,490","20,340","187,726","328,364","415,801","164,889","129,187","137,247","125,259","65,817"
Congo (Kinshasa),"Military Assistance, Total",,,,,,,,,,,,,,,,,"6,061","13,102,341","50,196,921","36,269,917","20,870,921","18,686,408","10,959,318","13,692,593","9,219,156","62,622,160","10,234,015","27,384,074","15,167,745","13,483,766","97,416,188","32,814,436","93,012,766","55,241,147","25,515,550","16,832,240","15,108,065","16,152,779","3,033,518","1,345,416","15,512,544","2,160,723","2,013,442","6,781,574","1,450,165","5,533,848","12,377",,,,,,,,,,,,,"384,073","382,404","455,003","6,599,478","6,787,060","40,190,919","16,583,993","22,424,445","17,973,000"
Costa Rica,"Military Assistance, Total",,,,,,,,,,,,,,,"37,300","379,934","3,763,676","1,945,300","2,561,309","1,255,900","1,257,833","115,825",,,,"460,389",,,,,,,"15,438,316",,,,"69,416","96,409","246,938","259,404","21,055,283","390,360","369,488","380,501","344,643","350,081","487,346","310,622","331,971","145,934","158,865","272,261","453,870","606,990","1,005,056","1,476,991","2,221,903","1,641,122","1,854,865","1,052,911","859,830","698,194","977,459","2,791,418","3,102,597","2,385,184","3,520,495","4,540,000"
Cote d'Ivoire,"Military Assistance, Total",,,,,,,,,,,,,,,,,"333,337","5,986",,,,"44,124","15,983","152,876","72,516","69,058","96,713","16,849",,,,,,,,"31,977","53,741","75,451","76,290","296,185","243,761","205,260","287,380","252,515","223,102","1,018,125","4,028,725","280,464","314,266","216,733","169,788","209,606","231,705","1,899,032","915,192","28,654",,,,,,,,,"26,258",,"90,635","300,000"
Croatia,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"148,564","302,609","581,990","612,374","577,806","5,879,311","5,755,823","7,001,370","7,605,928",,,,"81,636","328,715","1,785,516","3,497,715","4,530,716","3,446,300"
Cuba,"Military Assistance, Total",,,,,,,"4,359,122","12,130,296","10,578,814","11,139,884","13,908,330","36,763,292","13,107,528","5,614,609","621,674",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,191","5,252",,,
Czech Republic,"Military Assistance, Total",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"691,975","722,444","707,448","13,457,793","13,389,851","23,746,652","10,806,966","9,691,616","12,653,139","14,771,351","34,139,578","11,969,680","9,168,426","6,716,333","5,561,064","4,697,752","4,829,296","8,205,697","8,126,570","6,892,000"
Denmark,"Military Assistance, Total",,,,,"343,455,887","786,857,704","567,412,414","796,318,227","256,876,743","111,321,820","193,815,783","54,579,348","139,024,077","280,925,599","253,406,682","219,295,700","90,231,247","271,683,533","20,981,437","12,902,043","28,668,348","275,773",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
